"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Francisco Lindor","NYM","65","278","8","36","21","5","11.2%","15.5%",".142",".232",".218",".313",".360",".296","","90","1.5","-2.1","11.0","1.8","12916"
"Jake Cronenworth","SDP","73","306","8","46","24","3","8.2%","14.1%",".152",".305",".278",".347",".430",".335","","113","1.4","6.3","1.7","1.8","18036"
"Ozzie Albies","ATL","67","288","10","40","43","7","8.3%","16.0%",".236",".273",".255",".323",".490",".344","","112","3.5","8.0","0.5","1.8","16556"
"J.D. Martinez","BOS","66","286","14","48","44","0","8.4%","22.4%",".243",".361",".309",".367",".552",".386","","142","-1.4","13.5","-5.1","1.8","6184"
"Michael Brantley","HOU","52","228","4","33","27","0","6.1%","11.4%",".171",".374",".341",".386",".512",".384","","148","-0.6","12.8","-3.4","1.7","4106"
"Whit Merrifield","KCR","70","307","6","43","40","20","6.8%","13.0%",".137",".295",".274",".326",".412",".316","","98","4.1","3.3","3.0","1.7","11281"
"Isiah Kiner-Falefa","TEX","71","305","6","41","28","15","3.6%","15.7%",".126",".329",".290",".326",".416",".319","","103","3.6","4.7","1.2","1.6","16512"
"J.P. Crawford","SEA","73","287","5","34","29","2","8.4%","17.4%",".123",".329",".281",".341",".404",".325","","110","-1.2","2.5","4.0","1.6","15491"
"Mike Yastrzemski","SFG","55","225","9","33","26","1","12.0%","22.2%",".258",".274",".237",".342",".495",".354","","124","1.5","8.5","-0.1","1.6","14854"
"Yordan Alvarez","HOU","58","246","9","41","38","1","5.3%","25.6%",".201",".390",".308",".362",".509",".370","","139","0.3","12.0","-4.5","1.6","19556"
"Mookie Betts","LAD","60","282","8","42","27","6","13.1%","15.6%",".201",".276",".252",".369",".453",".355","","125","-0.6","8.2","-2.1","1.6","13611"
"Randy Arozarena","TBR","68","299","10","46","37","11","9.0%","28.4%",".165",".343",".259",".338",".425",".330","","114","2.2","7.4","-2.0","1.6","19290"
"Kyle Tucker","HOU","64","265","13","42","43","5","7.9%","16.2%",".238",".274",".268",".326",".506",".348","","124","1.2","9.0","-2.6","1.5","18345"
"Austin Riley","ATL","68","270","12","35","33","0","9.6%","28.1%",".197",".362",".283",".367",".481",".361","","124","-1.5","6.6","-0.5","1.5","18360"
"Salvador Perez","KCR","70","288","18","35","47","0","2.8%","24.7%",".248",".333",".292",".323",".540",".362","","129","-0.4","9.7","-4.5","1.5","7304"
"Alex Bregman","HOU","59","262","7","37","34","1","11.1%","16.0%",".153",".308",".275",".359",".428",".338","","117","-1.3","4.0","1.9","1.5","17678"
"Nelson Cruz","MIN","62","247","15","32","37","1","9.7%","19.8%",".258",".320",".300",".373",".559",".388","","148","-2.3","12.3","-6.2","1.5","2434"
"Manny Machado","SDP","66","278","10","35","44","7","11.9%","16.9%",".192",".266",".250",".335",".442",".330","","109","-0.8","2.5","2.2","1.4","11493"
"Juan Soto","WSN","59","244","8","36","29","2","18.0%","15.2%",".156",".303",".276",".406",".432",".362","","125","-2.1","5.6","-0.4","1.3","20123"
"Ryan McMahon","COL","72","279","16","44","44","3","7.5%","26.2%",".252",".290",".256",".308",".508",".340","","99","-0.7","-1.1","5.0","1.3","15112"
