"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"21",621532,"Bemboom, Anthony","21","100.0","0.429","0.714","0.333","1.143","0.641","0.433","0.424","3","7","95.5","11.7","1598","61.2","59.57","0","10","11","-1.6","4.87","127","162","134","153","282","333","305"
"20",664789,"Tom, Ka'ai","20","100.0","0.250","0.000","0.250","0.250","0.220","0.087","0.083","1","4","70.7","14.5","1826","69.5","68.70","1","9","11","-0.8","5.39","119","153","142","175","299","323","299"
"18",676755,"Mattson, Isaac","18","100.0","0.333","0.333","0.333","0.667","0.483","0.998","0.625","1","3","103.1","29.3","2119","90.3","90.72","1","7","11","0.4","6.85","103","145","124","148","303","328","297"
"18",605612,"Castro, Harold","18","100.0","0.000","0.000","0.000","0.000","0.099","0.371","0.228","0","6","95.5","24.7","1901","72.0","70.31","0","7","11","-1.7","4.86","112","156","133","151","307","331","305"
"17",452678,"Cabrera, Asdrúbal","17","100.0","0.250","0.000","0.250","0.250","0.220","0.361","0.341","1","4","88.2","14.8","1678","71.3","68.99","0","8","9","-2.3","4.66","112","150","122","149","307","330","305"
"17",668670,"Rogers, Jake","17","100.0","0.400","0.200","0.400","0.600","0.469","0.520","0.365","2","5","80.0","10.8","1727","74.0","73.14","1","8","9","-0.9","5.27","114","158","132","152","299","319","300"
"16",641645,"Guillorme, Luis","16","100.0","0.500","0.167","0.500","0.667","0.527","0.544","0.553","3","6","89.9","16.3","1447","66.2","65.39","0","6","10","-0.8","5.67","119","156","124","146","295","321","300"
"16",624414,"Arroyo, Christian","16","100.0","0.250","0.750","0.000","1.000","0.540","0.588","0.294","1","4","95.8","23.0","1900","76.3","74.42","0","6","10","-1.9","4.78","115","155","135","149","275","324","305"
"16",541650,"Pérez, Hernán","16","100.0","0.143","0.286","0.200","0.429","0.224","0.160","0.168","1","7","82.3","42.2","1451","59.8","58.04","3","11","5","-1.8","4.68","119","156","134","150","303","316","303"
"15",605501,"Tarpley, Stephen","15","100.0","1.000","0.000","1.000","1.000","0.746","0.713","0.800","1","1","76.4","16.0","2100","86.7","86.35","1","2","13","-0.4","6.27","105","142","113","145","301","331","305"
"15",664901,"Mendick, Danny","15","100.0","0.250","0.000","0.333","0.250","0.320","0.294","0.199","1","4","89.4","10.3","1656","57.0","54.92","4","9","6","-2.1","4.17","122","144","121","146","276","323","305"
"15",519203,"Rizzo, Anthony","15","100.0","0.000","0.000","0.000","0.000","0.231","0.291","0.100","0","2","46.4","-31.0","1781","66.3","65.76","1","3","12","-0.5","5.69","118","150","133","148","315","335","320"
"15",680692,"Stiever, Jonathan","15","100.0","1.000","0.000","1.000","1.000","0.879","0.719","0.747","4","4","89.8","16.5","2191","88.5","87.44","1","5","10","-1.1","5.82","115","142","121","145","297","324","295"
"14",642048,"Saucedo, Tayler","14","100.0","0.000","0.000","0.000","0.000","0.000","0.046","0.039","0","3","84.6","-0.5","2413","92.0","92.37","1","7","7","0.4","6.32","109","154","105","150","295","304","284"
"14",665759,"Rosso, Ramón","14","100.0","0.250","0.000","0.250","0.250","0.220","0.453","0.447","1","4","96.2","3.3","2488","90.6","90.30","0","5","9","-0.3","6.17","118","151","124","152","295","325","298"
"12",592859,"Wilkerson, Stevie","12","100.0","0.400","0.600","0.250","1.000","0.577","0.631","0.446","2","5","91.7","13.4","1170","44.8","42.54","1","7","5","-2.3","4.36","119","152","123","153","300","330","295"
"12",641576,"Flores Jr., Bernardo","12","100.0","1.000","0.000","1.000","1.000","0.754","0.616","0.403","1","1","99.0","18.0","2018","82.1","83.56","0","2","10","1.5","7.33","105","150","125","150","299","325","303"
"11",506702,"León, Sandy","11","100.0","0.000","0.000","0.000","0.000","0.000","0.150","0.123","0","3","92.7","16.0","2028","82.1","79.43","1","6","5","-2.7","4.23","118","151","120","153","299","321","290"
"11",503556,"Gonzalez, Marwin","11","100.0","0.000","0.000","0.000","0.000","0.000","0.068","0.067","0","3","83.8","4.0","1432","59.6","58.05","0","5","6","-1.6","4.42","117","157","134","149","275","326","307"
"10",605154,"Brebbia, John","10","100.0","0.000","0.000","0.000","0.000","0.000","0.279","0.282","0","3","93.1","20.0","2496","84.4","85.76","1","7","3","1.4","6.86","119","166","128","151","283","316","291"
"10",621002,"Robertson, Daniel","10","100.0","0.250","0.250","0.250","0.500","0.310","0.389","0.337","1","4","90.0","9.5","1680","70.8","69.81","1","5","5","-1.0","5.42","115","154","127","149","290","323","300"
"10",621500,"Mathisen, Wyatt","10","100.0","0.250","0.000","0.250","0.250","0.220","0.703","0.557","1","4","99.1","16.3","1182","48.0","45.74","0","6","4","-2.3","4.13","121","151","139","153","316","336","315"
"9",658069,"Fuentes, Joshua","9","100.0","0.250","0.000","0.250","0.250","0.220","0.505","0.535","1","4","96.8","16.8","1696","75.0","73.72","0","4","5","-1.3","5.16","118","169","146","153","296","333","298"
"8",518586,"Culberson, Charlie","8","100.0","0.250","0.000","0.250","0.250","0.220","0.338","0.277","1","4","85.8","-5.8","2415","89.6","88.23","0","5","3","-1.4","5.35","118","157","132","150","296","318","286"
"7",621011,"Schrock, Max","7","100.0","0.000","0.000","0.000","0.000","0.000","0.181","0.097","0","3","89.3","52.7","1506","62.6","60.93","0","4","3","-1.7","4.59","117","164","135","146","301","324","300"
"7",630105,"Cronenworth, Jake","7","100.0","0.500","0.000","0.500","0.500","0.293","0.135","0.036","1","2","86.6","1.5","2058","87.7","86.23","1","4","3","-1.5","5.43","116","144","111","147","297","318","312"
"6",502522,"Miller, Justin","6","100.0","0.000","0.000","0.000","0.000","0.000","0.249","0.243","0","2","96.7","17.0","2467","91.1","91.48","1","3","3","0.4","6.43","116","155","116","150","291","321","302"
"5",642162,"Valaika, Pat","5","100.0","0.000","0.000","0.000","0.000","0.000","0.171","0.162","0","4","80.8","-2.3","1664","65.8","63.30","0","4","1","-2.5","4.22","113","152","120","149","304","328","300"
"5",622110,"Duffy, Matt","5","100.0","0.000","0.000","0.000","0.000","0.000","0.072","0.056","0","1","71.7","-17.0","1704","76.7","75.42","0","1","4","-1.3","5.18","111","151","125","146","311","335","318"
"5",595943,"Evans, Phillip","5","100.0","0.000","0.000","0.000","0.000","0.000","0.150","0.129","0","3","92.7","33.3","2120","78.7","76.88","0","4","1","-1.8","4.88","106","150","120","143","302","311","298"
"4",502273,"Freeman, Mike","4","100.0","0.000","0.000",,"0.000","0.000","0.000",,"0","1",,,"1525","59.3","57.15","0","0","4","-2.1","4.15","110","150","121","149","269","306","282"
"3",608686,"Mayfield, Jack","3","100.0","0.000","0.000","0.000","0.000","0.000","0.216","0.221","0","1","51.9","-45.0","1487","59.9","57.73","0","1","2","-2.2","4.27","105","151","123","148","309","329","279"
"2",593643,"Alberto, Hanser","2","100.0","0.000","0.000","0.000","0.000","0.000","0.017","0.017","0","1","87.0","54.0","1323","64.9","62.60","0","1","1","-2.3","4.40","119","180","122","153","289","323","315"
