"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"43",666818,"Frías, Luis","43","100.0","0.400","0.200","0.400","0.600","0.489","0.480","0.368","2","5","88.9","-0.4","2202","90.5","89.97","4","18","25","-0.5","6.01","107","152","113","148","294","325","292"
"43",657756,"Seabold, Connor","43","100.0","0.300","0.400","0.222","0.700","0.459","0.455","0.341","3","10","93.8","11.3","2200","86.8","86.71","2","19","24","-0.1","6.03","112","158","113","148","307","332","297"
"42",642528,"Loáisiga, Jonathan","42","100.0","0.091","0.273","0.000","0.364","0.182","0.164","0.162","1","11","88.5","-4.3","2380","96.0","96.17","2","21","21","0.2","6.48","114","153","117","144","302","330","286"
"42",676617,"O'Brien, Riley","42","100.0","0.333","1.000","0.000","1.333","0.676","0.624","0.352","2","6","88.9","-9.5","2042","88.1","89.15","7","18","24","1.1","6.90","107","151","119","149","289","317","300"
"41",621249,"Underwood Jr., Duane","41","100.0","0.250","0.750","0.000","1.000","0.523","0.596","0.359","2","8","94.1","11.3","2059","87.7","87.90","2","20","21","0.2","6.34","116","150","117","150","293","326","302"
"41",607219,"Romano, Sal","41","100.0","0.571","0.143","0.800","0.714","0.598","0.461","0.376","4","7","90.8","9.4","2139","92.0","91.35","3","13","28","-0.6","6.15","111","152","124","146","296","318","285"
"41",572143,"Smith, Burch","41","100.0","0.364","0.273","0.444","0.636","0.419","0.337","0.291","4","11","95.3","17.0","2160","90.8","91.29","4","19","22","0.5","6.75","117","154","124","152","295","317","296"
"40",643400,"Knight, Dusten","40","100.0","0.429","0.143","0.600","0.571","0.461","0.395","0.372","3","7","85.5","11.4","2033","84.1","83.61","3","16","24","-0.5","6.10","115","150","123","144","280","328","305"
"38",605347,"López, Jorge","38","100.0","0.111","0.333","0.000","0.444","0.223","0.226","0.151","1","9","68.2","-18.8","2066","92.2","92.05","5","15","23","-0.1","6.34","105","152","120","148","301","333","290"
"36",656427,"Flaherty, Jack","36","100.0","0.429","0.571","0.500","1.000","0.612","0.562","0.359","3","7","92.6","19.0","2308","86.3","87.06","3","13","23","0.8","6.77","119","156","123","150","300","327","302"
"35",592094,"Adam, Jason","35","100.0","0.143","0.000","0.333","0.143","0.126","0.097","0.099","1","7","82.7","27.7","2561","88.6","89.31","4","17","18","0.7","6.69","115","160","133","155","312","328","301"
"35",505447,"Dickson, Brandon","35","100.0","0.500","0.500","0.500","1.000","0.625","0.418","0.335","5","10","93.3","8.8","2281","89.2","90.65","3","15","20","1.4","7.14","117","158","127","147","298","320","289"
"34",595411,"Sherriff, Ryan","34","100.0","0.167","0.000","0.250","0.167","0.287","0.335","0.204","1","6","80.5","25.0","2423","88.3","87.91","4","15","19","-0.4","6.37","108","151","123","149","292","326","289"
"30",664199,"Clarke, Taylor","30","100.0","0.400","0.200","0.667","0.600","0.524","0.326","0.115","2","5","86.4","-7.7","2040","91.6","91.15","5","10","20","-0.4","6.11","109","139","109","141","296","325","293"
"29",624427,"Gonsalves, Stephen","29","100.0","0.000","0.000","0.000","0.000","0.115","0.320","0.262","0","5","86.8","-3.3","2345","87.1","87.72","4","16","13","0.6","6.75","109","149","104","146","278","312","296"
"29",641312,"Anderson, Shaun","29","100.0","0.444","0.000","0.500","0.444","0.352","0.187","0.220","4","9","85.2","9.9","2642","89.3","86.64","3","16","13","-2.7","6.53","116","150","139","141","292","313","315"
"29",672335,"Pérez, Cionel","29","100.0","0.000","0.000","0.000","0.000","0.000","0.019","0.016","0","6","75.1","19.7","2282","94.0","93.54","4","15","14","-0.5","5.94","117","151","118","148","288","305","273"
"29",650911,"Sánchez, Cristopher","29","100.0","0.167","0.000","0.250","0.167","0.224","0.229","0.168","1","6","71.7","1.8","2078","90.5","91.92","0","9","20","1.4","7.20","110","155","107","150","290","312","285"
"27",607755,"Vasquez, Andrew","27","100.0","0.167","0.000","0.333","0.167","0.147","0.085","0.083","1","6","95.8","-19.3","2301","83.0","82.84","4","15","12","-0.2","6.32","112","147","102","146","291","306","291"
"27",620396,"Aguilar, Miguel","27","100.0","0.200","0.000","0.200","0.200","0.323","0.318","0.183","1","5","72.5","-7.8","2243","89.0","88.44","1","9","18","-0.6","5.94","111","145","117","143","292","324","289"
"26",592831,"Wade, Konner","26","100.0","0.600","0.000","1.000","0.600","0.555","0.441","0.419","3","5","94.5","10.3","2158","85.0","83.31","4","11","15","-1.7","5.42","120","150","122","147","294","320","298"
"23",542960,"Brach, Brad","23","100.0","0.800","0.600","1.000","1.400","0.889","0.829","0.711","4","5","83.8","22.8","2293","88.3","87.73","1","8","15","-0.6","5.83","115","145","107","142","286","320","260"
"22",491703,"Feliz, Neftalí","22","100.0","0.143","0.000","0.143","0.143","0.126","0.411","0.328","1","7","85.5","17.6","2280","90.7","90.70","1","10","12","0.0","6.31","119","153","105","150","305","318","289"
"21",641420,"Burdi, Zack","21","100.0","0.000","0.000","0.000","0.000","0.173","0.203","0.044","0","3","82.4","43.0","2698","93.9","93.59","3","11","10","-0.3","6.34","112","151","116","149","302","313","280"
"20",571912,"Maile, Luke","20","100.0","0.400","0.600","0.250","1.000","0.577","0.270","0.161","2","5","84.4","8.8","1007","65.8","64.80","2","11","9","-1.0","5.67","119","159","133","148","297","328","314"
"19",596082,"Reed, Jake","19","100.0","0.600","0.000","0.600","0.600","0.527","0.415","0.443","3","5","92.8","-2.0","2253","83.2","81.08","0","8","11","-2.1","5.07","96","141","96","140","294","308","286"
"19",665661,"Spitzbarth, Shea","19","100.0","0.000","0.000","0.000","0.000","0.353","0.386","0.073","0","2","60.9","49.0","1844","89.3","89.03","0","5","14","-0.3","6.09","113","156","121","149","300","314","298"
"19",506702,"León, Sandy","19","100.0","0.333","0.667","0.250","1.000","0.541","0.555","0.475","2","6","95.1","21.8","1939","77.5","74.24","0","6","13","-3.3","4.04","121","160","125","153","304","328","300"
"19",641329,"Baker, Bryan","19","100.0","0.250","0.000","0.333","0.250","0.220","0.338","0.355","1","4","70.2","45.0","2429","93.0","92.46","4","10","9","-0.5","6.21","107","155","118","149","311","310","291"
"17",664875,"Lawrence, Justin","17","100.0","1.000","0.000","1.000","1.000","0.785","0.456","0.237","2","2","89.1","-1.0","2235","90.7","90.25","2","5","12","-0.4","6.15","103","147","120","137","311","317","288"
"16",605538,"Wisler, Matt","16","100.0","0.400","0.000","0.400","0.400","0.352","0.219","0.217","2","5","86.4","46.6","2441","81.3","80.36","1","7","9","-0.9","5.73","108","153","134","156","290","325","302"
"15",676766,"Snyder, Nick","15","100.0","0.000","0.000","0.000","0.000","0.231","0.432","0.331","0","2","91.0","-11.0","2313","96.1","95.69","2","7","8","-0.4","6.01","121","162","132","151","308","334","308"
"14",658551,"Fernández, Junior","14","100.0","0.500","1.500",,"2.000","1.003","0.687","0.349","1","2","103.5","34.0","2031","93.0","93.59","2","4","10","0.6","6.61","96","150","122","142","296","323","289"
"14",607054,"Peterson, Jace","14","100.0","0.250","0.000","0.333","0.250","0.220","0.175","0.179","1","4","75.3","-19.0","1098","54.9","53.14","1","7","7","-1.8","4.91","112","150","136","151","300","322","299"
"13",665625,"Peguero, Elvis","13","100.0","0.500","0.250","0.500","0.750","0.530","0.369","0.365","2","4","89.3","12.3","2206","92.0","92.38","0","6","7","0.4","6.53","97","130","108","134","305","321","293"
"12",676596,"Fleming, Josh","12","100.0","0.286","0.000","0.333","0.286","0.251","0.254","0.267","2","7","91.9","-19.7","1683","92.4","91.68","3","9","3","-0.7","6.06","112","155","113","151","293","318","297"
"12",672391,"Ort, Kaleb","12","100.0","0.500","0.000","0.500","0.500","0.524","0.539","0.456","1","2","95.0","27.0","2254","90.7","90.16","1","5","7","-0.5","6.24","95","149","110","146","292","338","289"
"10",592789,"Syndergaard, Noah","10","100.0","0.000","0.000","0.000","0.000","0.000","0.108","0.120","0","3","96.6","-4.0","1905","93.4","94.22","2","6","4","0.8","6.68","115","157","106","149","302","319","291"
"9",491624,"Valdez, César","9","100.0","0.333","0.667","0.500","1.000","0.523","0.340","0.317","1","3","102.7","13.0","1791","78.2","76.42","2","4","5","-1.8","5.36","94","135","104","134","292","317","285"
"8",676840,"Peacock, Matt","8","100.0","0.000","0.000","0.000","0.000","0.000","0.137","0.116","0","3","98.5","20.0","2132","94.1","92.13","2","5","3","-2.0","5.30","120","156","119","154","295","332","297"
"8",621011,"Schrock, Max","8","100.0","0.000","0.000","0.000","0.000","0.000","0.343","0.347","0","3","95.7","16.0","1578","63.1","61.51","1","5","3","-1.6","4.66","118","157","126","145","297","335","303"
"7",518586,"Culberson, Charlie","7","100.0","0.333","0.000","0.333","0.333","0.293","0.183","0.190","1","3","78.3","13.3","2357","90.5","89.26","0","3","4","-1.2","5.30","126","163","134","149","315","336","295"
"4",642727,"Alcántara, Sergio","4","100.0","0.000","0.000","0.000","0.000","0.000","0.081","0.089","0","1","77.6","32.0","2285","87.2","85.60","0","3","1","-1.6","5.23","113","155","123","149","309","325","311"
"4",663853,"Gonzalez, Romy","4","100.0","0.000","0.000",,"0.000","0.000","0.000",,"0","1",,,"1892","78.4","76.58","2","3","1","-1.8","4.88","112","153","114","143","303","327","288"
