"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"69",622092,"Zimmer, Kyle","69","100.0","0.273","0.273","0.222","0.545","0.451","0.505","0.349","3","11","92.3","14.3","2097","90.1","90.23","1","17","52","0.1","6.26","106","157","112","146","299","323","297"
"68",446372,"Kluber, Corey","68","100.0","0.294","0.176","0.400","0.471","0.363","0.392","0.305","5","17","93.2","20.9","2141","85.8","85.97","9","29","39","0.2","6.44","111","150","117","147","305","318","289"
"67",620396,"Aguilar, Miguel","67","100.0","0.313","0.125","0.357","0.438","0.342","0.308","0.266","5","16","84.7","10.9","2240","87.5","87.00","5","38","29","-0.5","6.00","114","151","113","151","293","324","295"
"67",571951,"Mitchell, Bryan","67","100.0","0.313","0.125","0.417","0.438","0.342","0.263","0.207","5","16","85.3","9.0","2377","90.3","89.89","6","33","34","-0.4","6.27","105","150","118","148","297","313","282"
"66",670090,"Mills, Wyatt","66","100.0","0.333","0.111","0.375","0.444","0.335","0.298","0.279","6","18","80.5","13.4","2116","88.0","88.73","3","27","39","0.7","6.80","109","150","116","146","296","320","289"
"65",543883,"Vincent, Nick","65","100.0","0.250","0.188","0.273","0.438","0.314","0.265","0.197","4","16","85.3","21.6","2355","86.4","86.45","9","32","33","0.0","6.04","107","160","115","149","300","324","294"
"65",547176,"Camarena, Daniel","65","100.0","0.444","0.278","0.467","0.722","0.494","0.474","0.401","8","18","92.3","14.9","1887","87.8","87.80","8","37","28","0.0","6.30","117","145","123","146","291","321","302"
"63",656322,"Coonrod, Sam","63","100.0","0.214","0.000","0.273","0.214","0.253","0.297","0.252","3","14","81.3","-8.6","2072","96.3","96.71","6","31","32","0.4","6.50","112","153","116","151","298","326","294"
"63",669330,"Wells, Tyler","63","100.0","0.071","0.000","0.091","0.071","0.098","0.314","0.244","1","14","90.8","24.9","2390","93.7","93.49","10","36","27","-0.2","6.23","105","153","120","145","301","326","291"
"61",660422,"Guzman, Jorge","61","100.0","0.444","0.111","0.667","0.556","0.524","0.479","0.284","4","9","92.1","14.0","1985","92.0","91.29","10","23","38","-0.7","6.08","107","148","120","146","300","319","287"
"60",465657,"Soria, Joakim","60","100.0","0.083","0.000","0.143","0.083","0.162","0.277","0.222","1","12","93.9","22.1","2319","87.7","87.85","10","29","31","0.2","6.54","108","152","113","150","285","316","300"
"59",520980,"Báez, Pedro","59","100.0","0.143","0.214","0.125","0.357","0.238","0.297","0.186","2","14","88.2","14.3","1769","85.4","84.99","9","32","27","-0.4","6.01","113","155","120","150","287","323","292"
"59",572888,"Greene, Shane","59","100.0","0.091","0.000","0.143","0.091","0.277","0.300","0.110","1","11","76.5","10.7","2242","85.8","84.92","8","21","38","-0.9","5.53","120","160","119","151","296","314","295"
