"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","NYY","63","274","18","37","46","6","10.2%","23.4%",".277",".346",".306",".380",".583",".404","","160","0.4","20.4","-2.6","2.7","15640"
"Enrique Hernandez","BOS","62","280","11","39","34","0","12.5%","15.7%",".234",".281",".268",".368",".502",".370","","132","1.3","12.1","5.2","2.7","10472"
"Cedric Mullins II","BAL","70","297","16","45","31","16","8.1%","18.2%",".244",".302",".286",".348",".530",".370","","134","2.9","15.3","1.2","2.7","17929"
"Will Smith","LAD","58","230","15","30","44","2","12.6%","22.2%",".271",".278",".266",".383",".537",".387","","145","-0.3","12.9","4.9","2.6","19197"
"Joey Votto","CIN","72","302","22","44","57","0","14.2%","26.5%",".325",".318",".282",".387",".607",".409","","152","0.1","20.0","-5.2","2.5","4314"
"Willy Adames","MIL","60","256","13","38","33","3","12.9%","25.4%",".242",".372",".300",".391",".543",".397","","148","0.6","16.1","-0.2","2.5","15986"
"Austin Riley","ATL","74","316","17","42","56","0","8.2%","20.9%",".246",".342",".306",".370",".552",".389","","141","-2.2","14.5","-0.6","2.5","18360"
"Kyle Tucker","HOU","57","226","12","31","39","8","9.3%","15.5%",".272",".338",".322",".382",".594",".406","","163","1.4","18.9","-2.2","2.4","18345"
"Jeimer Candelario","DET","71","297","10","41","42","0","9.8%","18.9%",".228",".328",".285",".357",".513",".369","","136","0.5","13.4","0.6","2.4","13621"
"Manny Machado","SDP","70","291","14","47","46","5","8.6%","15.8%",".223",".314",".300",".361",".523",".368","","134","-0.5","12.0","2.3","2.4","11493"
"Bryan Reynolds","PIT","72","293","11","39","49","4","9.2%","16.4%",".202",".327",".298",".372",".500",".368","","131","1.7","13.2","0.7","2.4","19326"
"Dansby Swanson","ATL","73","308","15","43","50","7","8.8%","21.8%",".221",".299",".268",".334",".489",".348","","115","2.7","8.6","4.8","2.4","18314"
"Tyler O'Neill","STL","66","263","10","37","22","7","9.5%","29.3%",".183",".378",".279",".369",".463",".361","","130","2.6","12.5","1.6","2.3","15711"
"Vladimir Guerrero Jr.","TOR","73","322","22","60","44","2","10.6%","15.8%",".259",".299",".301",".376",".559",".394","","149","-0.7","18.6","-7.0","2.3","19611"
"Myles Straw","- - -","71","291","3","43","22","18","12.4%","19.6%",".086",".354",".282",".371",".369",".331","","111","4.2","8.0","4.4","2.2","17620"
"Jonathan India","CIN","73","322","14","58","35","5","10.9%","24.2%",".228",".348",".283",".385",".511",".385","","137","-0.4","14.6","-3.4","2.2","21523"
"Jake Cronenworth","SDP","64","279","12","44","40","1","9.7%","15.1%",".241",".277",".265",".353",".506",".362","","130","0.5","11.0","1.6","2.2","18036"
